AI Method,Design Task,Count,Gap Type
Deep models (artificial neural networks),???,0,Empty
Deep models (artificial neural networks),Automatic UI design evaluation,0,Empty
Deep models (artificial neural networks),Converstional interface design,0,Empty
Deep models (artificial neural networks),Define,0,Empty
Deep models (artificial neural networks),Define / Develop,0,Empty
Deep models (artificial neural networks),Delivery,0,Empty
Deep models (artificial neural networks),Develop,0,Empty
Deep models (artificial neural networks),"Develop, conversion",0,Empty
Deep models (artificial neural networks),Developing emotion recognition systems with better user interaction,0,Empty
Deep models (artificial neural networks),Discovery,1,Low
Deep models (artificial neural networks),Emotion design,0,Empty
Deep models (artificial neural networks),Evaluation of HCI system,0,Empty
Deep models (artificial neural networks),Evaluation of UI design (user response time-based),0,Empty
Deep models (artificial neural networks),HCI for feedback interface,0,Empty
Deep models (artificial neural networks),Residents service design,0,Empty
Deep models (artificial neural networks),adaptive HCI design,0,Empty
Deep models (artificial neural networks),define,0,Empty
Deep models (artificial neural networks),define ,0,Empty
Deep models (artificial neural networks),"define, develop",0,Empty
Deep models (artificial neural networks),develop,0,Empty
Deep models (artificial neural networks),develop ,0,Empty
Deep models (artificial neural networks),develope,0,Empty
Deep models (artificial neural networks),dfine,0,Empty
Deep models (artificial neural networks),discover,0,Empty
Deep models (artificial neural networks),discovery,0,Empty
Deep models (artificial neural networks),"discovery, define",0,Empty
Deep models (computer vision pre-trained models),???,0,Empty
Deep models (computer vision pre-trained models),Automatic UI design evaluation,0,Empty
Deep models (computer vision pre-trained models),Converstional interface design,0,Empty
Deep models (computer vision pre-trained models),Define,0,Empty
Deep models (computer vision pre-trained models),Define / Develop,0,Empty
Deep models (computer vision pre-trained models),Delivery,0,Empty
Deep models (computer vision pre-trained models),Develop,1,Low
Deep models (computer vision pre-trained models),"Develop, conversion",0,Empty
Deep models (computer vision pre-trained models),Developing emotion recognition systems with better user interaction,0,Empty
Deep models (computer vision pre-trained models),Discovery,0,Empty
Deep models (computer vision pre-trained models),Emotion design,0,Empty
Deep models (computer vision pre-trained models),Evaluation of HCI system,0,Empty
Deep models (computer vision pre-trained models),Evaluation of UI design (user response time-based),0,Empty
Deep models (computer vision pre-trained models),HCI for feedback interface,0,Empty
Deep models (computer vision pre-trained models),Residents service design,0,Empty
Deep models (computer vision pre-trained models),adaptive HCI design,0,Empty
Deep models (computer vision pre-trained models),define,0,Empty
Deep models (computer vision pre-trained models),define ,0,Empty
Deep models (computer vision pre-trained models),"define, develop",0,Empty
Deep models (computer vision pre-trained models),develop,0,Empty
Deep models (computer vision pre-trained models),develop ,0,Empty
Deep models (computer vision pre-trained models),develope,0,Empty
Deep models (computer vision pre-trained models),dfine,0,Empty
Deep models (computer vision pre-trained models),discover,0,Empty
Deep models (computer vision pre-trained models),discovery,0,Empty
Deep models (computer vision pre-trained models),"discovery, define",0,Empty
Deep models in CV,???,0,Empty
Deep models in CV,Automatic UI design evaluation,1,Low
Deep models in CV,Converstional interface design,0,Empty
Deep models in CV,Define,0,Empty
Deep models in CV,Define / Develop,0,Empty
Deep models in CV,Delivery,0,Empty
Deep models in CV,Develop,0,Empty
Deep models in CV,"Develop, conversion",0,Empty
Deep models in CV,Developing emotion recognition systems with better user interaction,0,Empty
Deep models in CV,Discovery,0,Empty
Deep models in CV,Emotion design,1,Low
Deep models in CV,Evaluation of HCI system,0,Empty
Deep models in CV,Evaluation of UI design (user response time-based),1,Low
Deep models in CV,HCI for feedback interface,0,Empty
Deep models in CV,Residents service design,1,Low
Deep models in CV,adaptive HCI design,0,Empty
Deep models in CV,define,0,Empty
Deep models in CV,define ,0,Empty
Deep models in CV,"define, develop",0,Empty
Deep models in CV,develop,0,Empty
Deep models in CV,develop ,0,Empty
Deep models in CV,develope,0,Empty
Deep models in CV,dfine,0,Empty
Deep models in CV,discover,0,Empty
Deep models in CV,discovery,0,Empty
Deep models in CV,"discovery, define",0,Empty
"Deep models, Exploratory data analysis",???,0,Empty
"Deep models, Exploratory data analysis",Automatic UI design evaluation,0,Empty
"Deep models, Exploratory data analysis",Converstional interface design,0,Empty
"Deep models, Exploratory data analysis",Define,0,Empty
"Deep models, Exploratory data analysis",Define / Develop,0,Empty
"Deep models, Exploratory data analysis",Delivery,0,Empty
"Deep models, Exploratory data analysis",Develop,0,Empty
"Deep models, Exploratory data analysis","Develop, conversion",0,Empty
"Deep models, Exploratory data analysis",Developing emotion recognition systems with better user interaction,0,Empty
"Deep models, Exploratory data analysis",Discovery,0,Empty
"Deep models, Exploratory data analysis",Emotion design,0,Empty
"Deep models, Exploratory data analysis",Evaluation of HCI system,0,Empty
"Deep models, Exploratory data analysis",Evaluation of UI design (user response time-based),0,Empty
"Deep models, Exploratory data analysis",HCI for feedback interface,0,Empty
"Deep models, Exploratory data analysis",Residents service design,0,Empty
"Deep models, Exploratory data analysis",adaptive HCI design,0,Empty
"Deep models, Exploratory data analysis",define,1,Low
"Deep models, Exploratory data analysis",define ,1,Low
"Deep models, Exploratory data analysis","define, develop",0,Empty
"Deep models, Exploratory data analysis",develop,0,Empty
"Deep models, Exploratory data analysis",develop ,0,Empty
"Deep models, Exploratory data analysis",develope,0,Empty
"Deep models, Exploratory data analysis",dfine,0,Empty
"Deep models, Exploratory data analysis",discover,0,Empty
"Deep models, Exploratory data analysis",discovery,0,Empty
"Deep models, Exploratory data analysis","discovery, define",0,Empty
"Deep models, traditional ml",???,0,Empty
"Deep models, traditional ml",Automatic UI design evaluation,0,Empty
"Deep models, traditional ml",Converstional interface design,0,Empty
"Deep models, traditional ml",Define,0,Empty
"Deep models, traditional ml",Define / Develop,0,Empty
"Deep models, traditional ml",Delivery,0,Empty
"Deep models, traditional ml",Develop,0,Empty
"Deep models, traditional ml","Develop, conversion",0,Empty
"Deep models, traditional ml",Developing emotion recognition systems with better user interaction,0,Empty
"Deep models, traditional ml",Discovery,0,Empty
"Deep models, traditional ml",Emotion design,0,Empty
"Deep models, traditional ml",Evaluation of HCI system,0,Empty
"Deep models, traditional ml",Evaluation of UI design (user response time-based),0,Empty
"Deep models, traditional ml",HCI for feedback interface,0,Empty
"Deep models, traditional ml",Residents service design,0,Empty
"Deep models, traditional ml",adaptive HCI design,0,Empty
"Deep models, traditional ml",define,0,Empty
"Deep models, traditional ml",define ,0,Empty
"Deep models, traditional ml","define, develop",0,Empty
"Deep models, traditional ml",develop,2,Low
"Deep models, traditional ml",develop ,0,Empty
"Deep models, traditional ml",develope,0,Empty
"Deep models, traditional ml",dfine,0,Empty
"Deep models, traditional ml",discover,0,Empty
"Deep models, traditional ml",discovery,0,Empty
"Deep models, traditional ml","discovery, define",0,Empty
Exploratory data analysis,???,0,Empty
Exploratory data analysis,Automatic UI design evaluation,0,Empty
Exploratory data analysis,Converstional interface design,0,Empty
Exploratory data analysis,Define,0,Empty
Exploratory data analysis,Define / Develop,0,Empty
Exploratory data analysis,Delivery,1,Low
Exploratory data analysis,Develop,1,Low
Exploratory data analysis,"Develop, conversion",0,Empty
Exploratory data analysis,Developing emotion recognition systems with better user interaction,0,Empty
Exploratory data analysis,Discovery,1,Low
Exploratory data analysis,Emotion design,0,Empty
Exploratory data analysis,Evaluation of HCI system,0,Empty
Exploratory data analysis,Evaluation of UI design (user response time-based),0,Empty
Exploratory data analysis,HCI for feedback interface,0,Empty
Exploratory data analysis,Residents service design,0,Empty
Exploratory data analysis,adaptive HCI design,0,Empty
Exploratory data analysis,define,0,Empty
Exploratory data analysis,define ,0,Empty
Exploratory data analysis,"define, develop",0,Empty
Exploratory data analysis,develop,0,Empty
Exploratory data analysis,develop ,0,Empty
Exploratory data analysis,develope,0,Empty
Exploratory data analysis,dfine,0,Empty
Exploratory data analysis,discover,0,Empty
Exploratory data analysis,discovery,1,Low
Exploratory data analysis,"discovery, define",0,Empty
Gen AI,???,0,Empty
Gen AI,Automatic UI design evaluation,0,Empty
Gen AI,Converstional interface design,0,Empty
Gen AI,Define,0,Empty
Gen AI,Define / Develop,0,Empty
Gen AI,Delivery,0,Empty
Gen AI,Develop,2,Low
Gen AI,"Develop, conversion",0,Empty
Gen AI,Developing emotion recognition systems with better user interaction,0,Empty
Gen AI,Discovery,0,Empty
Gen AI,Emotion design,0,Empty
Gen AI,Evaluation of HCI system,0,Empty
Gen AI,Evaluation of UI design (user response time-based),0,Empty
Gen AI,HCI for feedback interface,0,Empty
Gen AI,Residents service design,0,Empty
Gen AI,adaptive HCI design,0,Empty
Gen AI,define,0,Empty
Gen AI,define ,0,Empty
Gen AI,"define, develop",0,Empty
Gen AI,develop,0,Empty
Gen AI,develop ,0,Empty
Gen AI,develope,0,Empty
Gen AI,dfine,0,Empty
Gen AI,discover,0,Empty
Gen AI,discovery,0,Empty
Gen AI,"discovery, define",0,Empty
Gen AI (Azure Open AI),???,0,Empty
Gen AI (Azure Open AI),Automatic UI design evaluation,0,Empty
Gen AI (Azure Open AI),Converstional interface design,0,Empty
Gen AI (Azure Open AI),Define,0,Empty
Gen AI (Azure Open AI),Define / Develop,0,Empty
Gen AI (Azure Open AI),Delivery,0,Empty
Gen AI (Azure Open AI),Develop,1,Low
Gen AI (Azure Open AI),"Develop, conversion",0,Empty
Gen AI (Azure Open AI),Developing emotion recognition systems with better user interaction,0,Empty
Gen AI (Azure Open AI),Discovery,0,Empty
Gen AI (Azure Open AI),Emotion design,0,Empty
Gen AI (Azure Open AI),Evaluation of HCI system,0,Empty
Gen AI (Azure Open AI),Evaluation of UI design (user response time-based),0,Empty
Gen AI (Azure Open AI),HCI for feedback interface,0,Empty
Gen AI (Azure Open AI),Residents service design,0,Empty
Gen AI (Azure Open AI),adaptive HCI design,0,Empty
Gen AI (Azure Open AI),define,0,Empty
Gen AI (Azure Open AI),define ,0,Empty
Gen AI (Azure Open AI),"define, develop",0,Empty
Gen AI (Azure Open AI),develop,0,Empty
Gen AI (Azure Open AI),develop ,0,Empty
Gen AI (Azure Open AI),develope,0,Empty
Gen AI (Azure Open AI),dfine,0,Empty
Gen AI (Azure Open AI),discover,0,Empty
Gen AI (Azure Open AI),discovery,0,Empty
Gen AI (Azure Open AI),"discovery, define",0,Empty
Gen AI (Conversational AI/Chatbots),???,0,Empty
Gen AI (Conversational AI/Chatbots),Automatic UI design evaluation,0,Empty
Gen AI (Conversational AI/Chatbots),Converstional interface design,0,Empty
Gen AI (Conversational AI/Chatbots),Define,1,Low
Gen AI (Conversational AI/Chatbots),Define / Develop,0,Empty
Gen AI (Conversational AI/Chatbots),Delivery,0,Empty
Gen AI (Conversational AI/Chatbots),Develop,0,Empty
Gen AI (Conversational AI/Chatbots),"Develop, conversion",0,Empty
Gen AI (Conversational AI/Chatbots),Developing emotion recognition systems with better user interaction,0,Empty
Gen AI (Conversational AI/Chatbots),Discovery,0,Empty
Gen AI (Conversational AI/Chatbots),Emotion design,0,Empty
Gen AI (Conversational AI/Chatbots),Evaluation of HCI system,0,Empty
Gen AI (Conversational AI/Chatbots),Evaluation of UI design (user response time-based),0,Empty
Gen AI (Conversational AI/Chatbots),HCI for feedback interface,0,Empty
Gen AI (Conversational AI/Chatbots),Residents service design,0,Empty
Gen AI (Conversational AI/Chatbots),adaptive HCI design,0,Empty
Gen AI (Conversational AI/Chatbots),define,0,Empty
Gen AI (Conversational AI/Chatbots),define ,0,Empty
Gen AI (Conversational AI/Chatbots),"define, develop",0,Empty
Gen AI (Conversational AI/Chatbots),develop,0,Empty
Gen AI (Conversational AI/Chatbots),develop ,0,Empty
Gen AI (Conversational AI/Chatbots),develope,0,Empty
Gen AI (Conversational AI/Chatbots),dfine,0,Empty
Gen AI (Conversational AI/Chatbots),discover,0,Empty
Gen AI (Conversational AI/Chatbots),discovery,0,Empty
Gen AI (Conversational AI/Chatbots),"discovery, define",0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",???,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Automatic UI design evaluation,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Converstional interface design,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Define,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Define / Develop,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Delivery,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Develop,1,Low
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)","Develop, conversion",0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Developing emotion recognition systems with better user interaction,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Discovery,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Emotion design,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Evaluation of HCI system,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Evaluation of UI design (user response time-based),0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",HCI for feedback interface,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",Residents service design,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",adaptive HCI design,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",define,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",define ,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)","define, develop",0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",develop,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",develop ,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",develope,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",dfine,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",discover,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)",discovery,0,Empty
"Gen AI (LLMs, GPT-4, Claude-3, LLaMA)","discovery, define",0,Empty
"Gen AI (LLMs, generative AI)",???,0,Empty
"Gen AI (LLMs, generative AI)",Automatic UI design evaluation,0,Empty
"Gen AI (LLMs, generative AI)",Converstional interface design,0,Empty
"Gen AI (LLMs, generative AI)",Define,2,Low
"Gen AI (LLMs, generative AI)",Define / Develop,0,Empty
"Gen AI (LLMs, generative AI)",Delivery,0,Empty
"Gen AI (LLMs, generative AI)",Develop,0,Empty
"Gen AI (LLMs, generative AI)","Develop, conversion",0,Empty
"Gen AI (LLMs, generative AI)",Developing emotion recognition systems with better user interaction,0,Empty
"Gen AI (LLMs, generative AI)",Discovery,0,Empty
"Gen AI (LLMs, generative AI)",Emotion design,0,Empty
"Gen AI (LLMs, generative AI)",Evaluation of HCI system,0,Empty
"Gen AI (LLMs, generative AI)",Evaluation of UI design (user response time-based),0,Empty
"Gen AI (LLMs, generative AI)",HCI for feedback interface,0,Empty
"Gen AI (LLMs, generative AI)",Residents service design,0,Empty
"Gen AI (LLMs, generative AI)",adaptive HCI design,0,Empty
"Gen AI (LLMs, generative AI)",define,0,Empty
"Gen AI (LLMs, generative AI)",define ,0,Empty
"Gen AI (LLMs, generative AI)","define, develop",0,Empty
"Gen AI (LLMs, generative AI)",develop,0,Empty
"Gen AI (LLMs, generative AI)",develop ,0,Empty
"Gen AI (LLMs, generative AI)",develope,0,Empty
"Gen AI (LLMs, generative AI)",dfine,0,Empty
"Gen AI (LLMs, generative AI)",discover,0,Empty
"Gen AI (LLMs, generative AI)",discovery,0,Empty
"Gen AI (LLMs, generative AI)","discovery, define",0,Empty
Gen AI (Style-based GAN),???,0,Empty
Gen AI (Style-based GAN),Automatic UI design evaluation,0,Empty
Gen AI (Style-based GAN),Converstional interface design,0,Empty
Gen AI (Style-based GAN),Define,0,Empty
Gen AI (Style-based GAN),Define / Develop,0,Empty
Gen AI (Style-based GAN),Delivery,0,Empty
Gen AI (Style-based GAN),Develop,1,Low
Gen AI (Style-based GAN),"Develop, conversion",0,Empty
Gen AI (Style-based GAN),Developing emotion recognition systems with better user interaction,0,Empty
Gen AI (Style-based GAN),Discovery,0,Empty
Gen AI (Style-based GAN),Emotion design,0,Empty
Gen AI (Style-based GAN),Evaluation of HCI system,0,Empty
Gen AI (Style-based GAN),Evaluation of UI design (user response time-based),0,Empty
Gen AI (Style-based GAN),HCI for feedback interface,0,Empty
Gen AI (Style-based GAN),Residents service design,0,Empty
Gen AI (Style-based GAN),adaptive HCI design,0,Empty
Gen AI (Style-based GAN),define,0,Empty
Gen AI (Style-based GAN),define ,0,Empty
Gen AI (Style-based GAN),"define, develop",0,Empty
Gen AI (Style-based GAN),develop,0,Empty
Gen AI (Style-based GAN),develop ,0,Empty
Gen AI (Style-based GAN),develope,0,Empty
Gen AI (Style-based GAN),dfine,0,Empty
Gen AI (Style-based GAN),discover,0,Empty
Gen AI (Style-based GAN),discovery,0,Empty
Gen AI (Style-based GAN),"discovery, define",0,Empty
Generative AI,???,0,Empty
Generative AI,Automatic UI design evaluation,0,Empty
Generative AI,Converstional interface design,0,Empty
Generative AI,Define,0,Empty
Generative AI,Define / Develop,0,Empty
Generative AI,Delivery,0,Empty
Generative AI,Develop,0,Empty
Generative AI,"Develop, conversion",0,Empty
Generative AI,Developing emotion recognition systems with better user interaction,1,Low
Generative AI,Discovery,0,Empty
Generative AI,Emotion design,0,Empty
Generative AI,Evaluation of HCI system,0,Empty
Generative AI,Evaluation of UI design (user response time-based),0,Empty
Generative AI,HCI for feedback interface,0,Empty
Generative AI,Residents service design,0,Empty
Generative AI,adaptive HCI design,0,Empty
Generative AI,define,0,Empty
Generative AI,define ,0,Empty
Generative AI,"define, develop",0,Empty
Generative AI,develop,0,Empty
Generative AI,develop ,0,Empty
Generative AI,develope,0,Empty
Generative AI,dfine,0,Empty
Generative AI,discover,0,Empty
Generative AI,discovery,0,Empty
Generative AI,"discovery, define",0,Empty
Large generative AI,???,0,Empty
Large generative AI,Automatic UI design evaluation,0,Empty
Large generative AI,Converstional interface design,2,Low
Large generative AI,Define,0,Empty
Large generative AI,Define / Develop,0,Empty
Large generative AI,Delivery,0,Empty
Large generative AI,Develop,0,Empty
Large generative AI,"Develop, conversion",0,Empty
Large generative AI,Developing emotion recognition systems with better user interaction,0,Empty
Large generative AI,Discovery,0,Empty
Large generative AI,Emotion design,0,Empty
Large generative AI,Evaluation of HCI system,0,Empty
Large generative AI,Evaluation of UI design (user response time-based),0,Empty
Large generative AI,HCI for feedback interface,1,Low
Large generative AI,Residents service design,0,Empty
Large generative AI,adaptive HCI design,0,Empty
Large generative AI,define,0,Empty
Large generative AI,define ,0,Empty
Large generative AI,"define, develop",0,Empty
Large generative AI,develop,0,Empty
Large generative AI,develop ,0,Empty
Large generative AI,develope,0,Empty
Large generative AI,dfine,0,Empty
Large generative AI,discover,0,Empty
Large generative AI,discovery,0,Empty
Large generative AI,"discovery, define",0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",???,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Automatic UI design evaluation,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Converstional interface design,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Define,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Define / Develop,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Delivery,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Develop,1,Low
"Reinforcement learning (Multi-agent RL, Markov Decision Process)","Develop, conversion",0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Developing emotion recognition systems with better user interaction,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Discovery,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Emotion design,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Evaluation of HCI system,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Evaluation of UI design (user response time-based),0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",HCI for feedback interface,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",Residents service design,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",adaptive HCI design,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",define,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",define ,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)","define, develop",0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",develop,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",develop ,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",develope,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",dfine,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",discover,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)",discovery,0,Empty
"Reinforcement learning (Multi-agent RL, Markov Decision Process)","discovery, define",0,Empty
Textual Deep models in NLP,???,1,Low
Textual Deep models in NLP,Automatic UI design evaluation,0,Empty
Textual Deep models in NLP,Converstional interface design,0,Empty
Textual Deep models in NLP,Define,0,Empty
Textual Deep models in NLP,Define / Develop,0,Empty
Textual Deep models in NLP,Delivery,0,Empty
Textual Deep models in NLP,Develop,0,Empty
Textual Deep models in NLP,"Develop, conversion",0,Empty
Textual Deep models in NLP,Developing emotion recognition systems with better user interaction,0,Empty
Textual Deep models in NLP,Discovery,0,Empty
Textual Deep models in NLP,Emotion design,0,Empty
Textual Deep models in NLP,Evaluation of HCI system,1,Low
Textual Deep models in NLP,Evaluation of UI design (user response time-based),0,Empty
Textual Deep models in NLP,HCI for feedback interface,0,Empty
Textual Deep models in NLP,Residents service design,0,Empty
Textual Deep models in NLP,adaptive HCI design,1,Low
Textual Deep models in NLP,define,0,Empty
Textual Deep models in NLP,define ,0,Empty
Textual Deep models in NLP,"define, develop",0,Empty
Textual Deep models in NLP,develop,0,Empty
Textual Deep models in NLP,develop ,0,Empty
Textual Deep models in NLP,develope,0,Empty
Textual Deep models in NLP,dfine,0,Empty
Textual Deep models in NLP,discover,0,Empty
Textual Deep models in NLP,discovery,0,Empty
Textual Deep models in NLP,"discovery, define",0,Empty
Traditional ML,???,0,Empty
Traditional ML,Automatic UI design evaluation,0,Empty
Traditional ML,Converstional interface design,0,Empty
Traditional ML,Define,0,Empty
Traditional ML,Define / Develop,0,Empty
Traditional ML,Delivery,0,Empty
Traditional ML,Develop,1,Low
Traditional ML,"Develop, conversion",0,Empty
Traditional ML,Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML,Discovery,0,Empty
Traditional ML,Emotion design,0,Empty
Traditional ML,Evaluation of HCI system,0,Empty
Traditional ML,Evaluation of UI design (user response time-based),0,Empty
Traditional ML,HCI for feedback interface,0,Empty
Traditional ML,Residents service design,0,Empty
Traditional ML,adaptive HCI design,0,Empty
Traditional ML,define,0,Empty
Traditional ML,define ,0,Empty
Traditional ML,"define, develop",0,Empty
Traditional ML,develop,0,Empty
