Index,Article_Title,Category,Full_Reference_Text,Notes
69,Dynamical mining of ever-changing user requirements: A product design and improvement perspective,AI methods,"Manxin Chen:
The dynamic mining relies on Deep Learning models, specifically Recurrent Neural Networks (RNNs) or similar NLP architectures capable of processing sequential, time-series text data for trend analysis.",
70,A Product Styling Design Evaluation Method Based on Multilayer Perceptron Genetic Algorithm Neural Network Algorithm,Design Phase,"Manxin Chen:
The evaluation model helps guide the conceptual design phase by providing immediate feedback on styling decisions and refining the initial set of promising concepts.",
70,A Product Styling Design Evaluation Method Based on Multilayer Perceptron Genetic Algorithm Neural Network Algorithm,Design Practice/Task,"Manxin Chen:
The goal is developing a robust, quantitative model to link objective styling features to subjective user aesthetic preference (Perception).",
70,A Product Styling Design Evaluation Method Based on Multilayer Perceptron Genetic Algorithm Neural Network Algorithm,Data About,"Manxin Chen:
The evaluation model relies on user preference and aesthetic perception data collected via questionnaires or psychometric scales. The model quantifies subjective information about design styles.",
73,Discrete Bidirectional Associative Memory Neural Networks of the Cohen-Grossberg Type for Engineering Design Symmetry Related Problems: Practical Stability of Sets Analysis,Data About,"Manxin Chen:
The primary data relates to design parameters and constraints defining the symmetry properties of technical artifacts. The model handles quantifiable geometric relationships.",
13,Analysis of Cleaner Production Performance in Manufacturing Companies Employing Artificial Neural Networks,AI methods,"Manxin Chen:
.a fully connected feed-forward multi-layer perceptron to model the relation... / For our case, we adopted a swallow feed-forward regressor, operating in supervised mode",
184,Interaction Design With Multi-Objective Bayesian Optimization,Data Modality,"Minimum duration time of the vibration [50 ms, 950ms]. Number of discrete vibration duration levels {1,2,3,4}. Minimum amplitude of vibration [0g, 1.45g]. Number of discrete amplitude levels {1,2,3,4}.",
168,Empirical Evidence on Conversational Control of GUI in Semantic Automation,"AI Assistance Types (Lee and Kim, 2025)","We augment the UI with our conversational engine and propose In-situ Prompt Engineering and learn from Human Feedback to smoothen the interaction and manipulation of UI through natural language commands. semantically enriched table with auto-generated caption, description, tags and estimated primary key, as well as column descriptions and glossary concept mappings. The model is objected to implicitly perform three tasks in a single pass: (1) intent recognition, (2) entity extraction and (3) response generation.",
62,Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,Design Phase,"Manxin Chen:
The model helps identify successful and preferred design patterns within the large dataset, informing the conceptual start of a new design.",
62,Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,"AI Assistance Types (Lee and Kim, 2025)","Manxin Chen:
The primary role is to predict user acceptance or quality scores for a given mobile application UI layout.",
62,Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,Data About,"Manxin Chen:
The training data consists of historical mobile application designs along with user interaction patterns and design feedback associated with those designs. The data reflects user acceptance and behavior metrics related to the interface layout.",
45,Machine Learning Algorithms for Improved Product Design User Experience,Data About,"Manxin Chen:
The dataset is primarily composed of user interaction logs, clickstream data, and time-on-task metrics collected from product prototypes. This captures explicit behavioral data indicative of user engagement and frustration.",
