Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Practice/Task,Notes,Questions 
Effective design knowledge abstraction from Chinese patents based on a meta-model of the patent design knowledge graph,"Sun, Yindi; Liu, Wei; Cao, Guozhong; Peng, Qingjin; Gu, Jianjie; Fu, Jiaming",COMPUTERS IN INDUSTRY,2022,http://dx.doi.org/10.1016/j.compind.2022.103749,Insudtrial Design/ Engineering design/ product design,Product character,Text,Data analytics,"Multiple: knowledge augmentation, knowledge generation",Extracting design knowledge from patent texts to build a knowledge graph for supporting innovative design.,"The paper proposes a new approach to build a ""patent design knowledge graph"" specifically from Chinese patent texts using tailored NLP techniques. A meta-model for the knowledge graph is defined based on the linguistic features of Chinese patents. The method then uses NLP tools (like the Language Technology Platform, LTP) to perform dependency parsing on patent sentences to extract entities (e.g., components, features) and their relationships, which are then used to construct the knowledge graph.",
Analysis of Cleaner Production Performance in Manufacturing Companies Employing Artificial Neural Networks,"Penchel, Rafael Abrantes; Aldaya, Ivan; Marim, Lucas; dos Santos, Mirian Paula; Cardozo-Filho, Lucio; Jegatheesan, Veeriah; de Oliveira, Jose Augusto",APPLIED SCIENCES-BASEL,2023,http://dx.doi.org/10.3390/app13064029,Service Design/ System design/ Business design,,,,,,,
Identifying Brand Consistency by Product Differentiation Using CNN,"Wang, Hung-Hsiang; Chen, Chih-Ping",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,2024,http://dx.doi.org/10.32604/cmes.2024.047630,Insudtrial Design/ Engineering design/ product design,Product character,Image,"multiple: traditional ML, deep learning in CV","Multiple: knowledge generation, decision making",Analyzing product appearance evolution to evaluate brand style consistency.,"This paper presents a method using a Convolutional Neural Network (CNN) to identify brand consistency by quantifying the variation in product appearance over time.
 The study collects a large dataset of product images (computer mice) from different time periods (""Early Stage"" vs. ""Late Stage""). It then trains a CNN (VGG16 with transfer learning) to classify which period an image belongs to. The model's classification accuracy is then used to derive a ""brand consistency score"".",
TechNet: Technology semantic network based on patent data,"Sarica, Serhad; Luo, Jianxi; Wood, Kristin L.",EXPERT SYSTEMS WITH APPLICATIONS,2020,http://dx.doi.org/10.1016/j.eswa.2019.112995,Insudtrial Design/ Engineering design/ product design,Product character,Text,Deep learning in NLP,"Multiple: knowledge augmentation, knowledge generation",Building a large-scale semantic network from patent data to support engineering knowledge discovery and design.,"The paper constructs a ""Technology Semantic Network (TechNet)"" by mining the complete U.S. patent database, covering concepts and their semantic associations across all domains of technology.
he method uses Natural Language Processing (NLP) techniques to extract technical terms from massive patent texts, and then employs word embedding algorithms (specifically word2vec and GloVe) to represent these terms as vectors and establish their semantic relationships.
",
Application of DMSFNN-COA technique for brand image design,"Wei, Lei",HELIYON,2024,https://doi.org/10.1016/j.heliyon.2024.e32674,Insudtrial Design/ Engineering design/ product design,Miscellaneous,Image,"Multiple: deep learning in CV, reinforcement learning",Prediction,"Classifying product color schemes into perceptual categories (""Stylish"" vs. ""Natural"").","The paper introduces a ""Deep Multi-Scale Fusion Neural Network optimized with Cheetah Optimization Algorithm (DMSFNN-COA)"" to classify product color brand images into ""Stylish"" and ""Natural"" categories.
The method proposes using a deep neural network for classification. However, the actual dataset used for training and validation is the MNIST dataset of handwritten digits, not product color images.",Critical Mismatch between Research Problem and Data! product color brand images vs. MNIST of handwritten digits (how does it map to the color brand images)
A framework for design optimization across multiple concepts,"Kenny, Angus; Ray, Tapabrata; Singh, Hemant",SCIENTIFIC REPORTS,2024,http://dx.doi.org/10.1038/s41598-024-57468-2,Insudtrial Design/ Engineering design/ product design,Product character,Numeric,"Multiple: traditional ML, reinforcement learning","Multiple: prediction, decision making",Optimizing a design across multiple competing concepts with a limited evaluation budget.,"The paper develops a framework that efficiently searches for optimal solutions across multiple, structurally different design concepts simultaneously, using a limited computational budget.
The framework uses machine learning regressors, specifically Gaussian Process (GP) and Random Forest (RF), as surrogate models to predict the performance of unevaluated designs. It also employs a Tree-structured Parzen Estimator (TPE) based sampler to intelligently decide which concept and which specific design to evaluate next.",
Product Innovation Design Method Based on BP Neural Network,"Huang, Shihui",ADVANCES IN MULTIMEDIA,2022,https://doi.org/10.1155/2022/6830892,Insudtrial Design/ Engineering design/ product design,Human+product,Image,"Multiple: traditional ML, generative AI","Multiple: prediction, design generation",Generating new product images by transferring color styles based on user emotional needs.," The paper proposes the ""KENPI"" method, which uses a BP neural network to build a mapping model between product form elements and perceptual semantics (Kansei Engineering), and then uses neural style transfer to generate new product images.
The process involves two main AI applications: 1) A BP Neural Network is trained to predict the semantic perception of a given product design. 2) A CNN-based neural style transfer model is used to extract color features from a ""style"" image and apply them to a ""content"" image (the product model) to create a new design.",
Attention-Enhanced Multimodal Learning for Conceptual Design Evaluations,"Song, Binyang; Miller, Scarlett; Ahmed, Faez",JOURNAL OF MECHANICAL DESIGN,2023,http://dx.doi.org/10.1115/1.4056669,Insudtrial Design/ Engineering design/ product design,Product character,Text,Data analytics,"Multiple: knowledge augmentation, knowledge generation",Developing a semantic network from design texts to support design information retrieval.,"The paper proposes an unsupervised process to construct a large-scale semantic network from engineering-related texts (academic papers and design blogs).
The method involves text mining to extract key terms (concepts) using NLP techniques like POS tagging and phrase chunking. It then builds a semantic network by calculating the co-occurrence probability of these terms within sentences.",
DEEP LEARNING-BASED HAND-DRAWN ILLUSTRATION IN PACKAGING DESIGN OF CULTURAL AND CREATIVE PRODUCTS,"Wang, Jianfei",INTERNATIONAL JOURNAL OF MARITIME ENGINEERING,2024,http://dx.doi.org/10.5750/ijme.v1i1.1368,Insudtrial Design/ Engineering design/ product design,Human+product,"Multiple: numeric, image, text","Multiple: traditional ML, generative AI","Multiple: prediction, design generation",Generating new product shell designs based on user emotional needs (Kansei Engineering).,"The paper proposes a method that combines a BP neural network with a Generative Adversarial Network (GAN) to create new product shell designs that align with specific Kansei images.
First, a BP neural network is trained to build a mapping model between design parameters and user's Kansei evaluations (a prediction task). Then, this trained model is used to guide a GAN to generate new 3D models that satisfy the desired emotional response (a generation task).",
Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,"Han, Yuexing; Yang, Shen; Chen, Qiaochuan",COMPUTATIONAL MATERIALS SCIENCE,2022,http://dx.doi.org/10.1016/j.commatsci.2022.111398,Insudtrial Design/ Engineering design/ product design,Product character,Image,Deep models in computer vision,"design generation
knowledge generation",Reconstructing the original 'as-designed' model from the 'as-built' 3D model of an additively manufactured product.,"The paper proposes a deep learning framework, using a PointNet++ based architecture, to automatically reconstruct the original, simplified B-Rep model (the design) from the complex mesh model of the manufactured product. 
The method trains a neural network on pairs of ""as-designed"" and simulated ""as-built"" models. The network learns to segment the point cloud of the as-built model and predict the parameters of the primitive shapes (e.g., planes, cylinders) that constituted the original design.",
A Digital Twin-Driven Method for Product Performance Evaluation Based on Intelligent Psycho-Physiological Analysis,"Feng, Yixiong; Li, Mingdong; Lou, Shanhe; Zheng, Hao; Gao, Yicong; Tan, Jianrong",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,2021,http://dx.doi.org/10.1115/1.4049895,Insudtrial Design/ Engineering design/ product design,Human behavior,Text,"Multiple: traditional ML, data analytics","multiple: knowledge generation, decision making",Evaluating product design schemes using online reviews and fuzzy logic.,"This paper proposes a data-driven method that uses text mining and fuzzy evaluation to assess product design schemes based on online reviews.

 The method first extracts product features from online reviews using TF-IDF. It then uses the Kano model to classify these features into different requirement types and calculates their importance weights using Fuzzy Analytic Hierarchy Process (FAHP). Finally, it scores the design schemes using a fuzzy comprehensive evaluation method.",Fuzzy logic? AI methods?
The Impact of AI Text-to-Image Generator on Product Styling Design,"Lee, Yu-Hsu; Chiu, Chun-Yao","HUMAN INTERFACE AND THE MANAGEMENT OF INFORMATION, HIMI 2023, PT I",2023,http://dx.doi.org/10.1007/978-3-031-35132-7_38,Insudtrial Design/ Engineering design/ product design,Human+product,text,data analytics,knowledge generation, generation	Designing a product ecosystem by identifying relationships between products and user needs from online reviews.,"The paper proposes a data-driven approach to support product ecosystem design by extracting and analyzing product relationships from online customer reviews.
The method involves using NLP to extract product names and user need keywords from reviews. It then constructs a knowledge graph and a product co-occurrence network to identify key products, communities of related products, and the main user needs driving the ecosystem.",Service? or product
,,,,,Insudtrial Design/ Engineering design/ product design,,,,,,,
Classifying design-level requirements using machine learning for a recommender of interaction design patterns,"Silva-Rodriguez, Viridiana; Edith Nava-Munoz, Sandra; Castro, Luis A.; Martinez-Perez, Francisco E.; Perez-Gonzalez, Hector G.; Torres-Reyes, Francisco",IET SOFTWARE,2020,http://dx.doi.org/10.1049/iet-sen.2019.0291,UI/UX design,Human Behaviour,Image,Deep models in CV,Prediction,Evaluation of UI design (user response time-based),"The study tests ML's ability to evaluate UI designs within defined software boundaries. The model can rank accessible designs and evaluate the accessibility of new designs based on user response times to quiz interfaces.  (CNNs, VGG19, ResNet…)",
User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,"Li, Jie; Cao, Hancheng; Lin, Laura; Hou, Youyang; Zhu, Ruihao; El Ali, Abdallah","PROCEEDINGS OF THE 2024 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYTEMS, CHI 2024",2024,http://dx.doi.org/10.1145/3613904.3642114,UI/UX design,Human Behaviour,Time series,Generative AI,Knowledge generation,Developing emotion recognition systems with better user interaction,The study presents CBB-GAN-SR model that integrates self-attention and residual neural networks for EEG-based emotion recognition. The model achieves 80.55% accuracy on arousal dimension in DEAP dataset.,
A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning,"Chen, Xiang; Huang, Rubing; Li, Xin; Xiao, Lei; Zhou, Ming; Zhang, Linghao",FRONTIERS IN PSYCHOLOGY,2021,http://dx.doi.org/10.3389/fpsyg.2021.674853,UI/UX design,Human Behaviour,Audio,Textual Deep models in NLP,Prediction,Evaluation of HCI system,The study proposes ILSTM (Improved LSTM) with self-attention for speech emotion recognition. Achieves 65.29% accuracy on Emo-DB and 74.17% on CASIA dataset for 7 emotion categories,
Exploring the Potential of Large Language Models in Radiological Imaging Systems: Improving User Interface Design and Functional Capabilities,"Zhang, Luyao; Shu, Jianhua; Hu, Jili; Li, Fangfang; He, Junjun; Wang, Peng; Shen, Yiqing",ELECTRONICS,2024,http://dx.doi.org/10.3390/electronics13112002,UI/UX design,Human Behaviour,Text,Large generative AI,Coodination,Converstional interface design,"The study presents ChatUI-RIS prototype that uses LLM as interface, controller, and executor. 26 medical students tested the system, showing reduced learning time and improved operational efficiency compared to traditional GUI.",
Combining a Universal OBD-II Module with Deep Learning to Develop an Eco-Driving Analysis System,"Yen, Meng-Hua; Tian, Shang-Lin; Lin, Yan-Ting; Yang, Cheng-Wei; Chen, Chi-Chun",APPLIED SCIENCES-BASEL,2021,http://dx.doi.org/10.3390/app11104481,Industrial Design/Engineering design ?,Human Behaviour,Time series,Textual Deep models in NLP,Prediction,???,,The study aimed to predict fuel consumption level. Is it related to design work directly?
Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,"Jin, Xinmin; Teng, Jian; Lee, Shaw-mung",WORLD ELECTRIC VEHICLE JOURNAL,2024,http://dx.doi.org/10.3390/wevj15080338,UI/UX design,Human Behaviour,Time series,Textual Deep models in NLP,Decision making,adaptive HCI design,"The study uses DNN-GA to optimize HMI layouts based on EEG attention levels (e-Sense). Achieved MSE of 0.22 and MAE of 0.31, outperforming SVMs-GA, DT-GA, and PSO-GA models. AR was used to simulate realistic driving conditions.",
Empirical Evidence on Conversational Control of GUI in Semantic Automation,"Weidele, Daniel Karl I.; Martino, Mauro; Valente, Abel N.; Rossiello, Gaetano; Strobelt, Hendrik; Franke, Loraine; Alvero, Kathryn; Misko, Shayenna; Auer, Robin; Bagchi, Sugato; Mihindukulasooriya, Nandana; Chowdhury, Faisal; Bramble, Gregory; Samulowitz, Horst; Gliozzo, Alfio; Amini, Lisa","PROCEEDINGS OF 2024 29TH ANNUAL CONFERENCE ON INTELLIGENT USER INTERFACES, IUI 2024",2024,http://dx.doi.org/10.1145/3640543.3645172,UI/UX design,Human Behaviour,Text,Large generative AI,Coodination,Converstional interface design,"The study uses fine-tuned FLAN-T5 with Semantic Bottlenecks (JSON-to-JSON) for UI control. 11 business analysts tested the system, showing 36.4-100% task success rates. AI trust increased significantly from 3.36 to 4.00 (p<0.02) after use.",
APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,"Liu, Sidan; Peng, Peng; Cao, Lei",3C TIC,2023,http://dx.doi.org/10.17993/3ctic.2023.121.176-198,"Multiple (service, product design)",Product Character,Image,Deep models in CV,Prediction,Emotion design,The study uses VGGNet to analyze emotions in AR picture book images based on Donald Norman's three-level emotional design theory. Achieved 61.02% single-label accuracy for emotion classification across 11 emotion categories. 2048 images covering various product categories were labeled by design professionals.,
Society sync - Digitalize society management systems with artificial intelligence technologies,"Thacker, Mayank; Shah, Lay; Shah, Manan",INTELLIGENT SYSTEMS WITH APPLICATIONS,2022,http://dx.doi.org/10.1016/j.iswa.2022.200069,Service design,Human Behaviour,Image,Deep models in CV,Coodination,Residents service design,"The study develops a housing society management system with 3 modules (Secretary, Watchman, Resident apps). Uses OCR for vehicle number plate recognition and face recognition for visitor management. 500-1000 user feedback analyzed to identify pain points. Improved security, efficiency, and transparency compared to traditional manual methods.",
AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING,"Wang, Li; Go, Jungwook; Chen, Xiang",JOURNAL OF MECHANICS IN MEDICINE AND BIOLOGY,2024,http://dx.doi.org/10.1142/S0219519424400220,Interaction design,Human Behaviour,Time series and Text,Large generative AI,Prediction,HCI for feedback interface,,The study develops CBB-GAN-SR model combining self-attention and residual networks. Replaced GAN discriminator with autoencoder. Achieved 80.55% accuracy (arousal) and 79.94% (valence) on DEAP dataset. Emphasizes interaction design framework for improved user experience and emotional feedback
The Application of Deep Learning for the Evaluation of User Interfaces,"Keselj, Ana; Milicevic, Mario; Zubrinic, Krunoslav; Car, Zeljka",SENSORS,2022,http://dx.doi.org/10.3390/s22239336,,Human Behaviour,Image,Deep models in CV,Prediction,Automatic UI design evaluation,Decision making for UI design,"Study uses multi-channel ensemble CNN and Xception-based ensemble to predict user performance. 338 participants, 4448 responses collected. Best model achieved MAE 281.5ms, RMSE 347.5ms. Can rank new UI designs by predicted efficiency. Focus on layout, color, font, and font size variations."
