Article Title,Publication Year,AI_Method_Normalized,Design_Task_Normalized,Combined_Keywords,TF_IDF_Keywords,KeyBERT_Keywords
A Digital Twin-Driven Method for Product Performance Evaluation Based on Intelligent Psycho-Physiological Analysis,2021,,,eeg(0.225); digital(0.133); human factors(0.075); psychological(0.070); manufacturing(0.066); factors(0.061); stage(0.055); emotional(0.053); driven(0.052); high(0.047),eeg(0.562); digital(0.331); human factors(0.187); psychological(0.175); manufacturing(0.166); factors(0.151); stage(0.136); emotional(0.132); driven(0.129); high(0.117),
The Impact of AI Text-to-Image Generator on Product Styling Design,2023,,,stimuli(0.224); visual(0.146); ai generated(0.134); artificial intelligence(0.110); generated(0.108); participants(0.076); product(0.046); design task(0.045); midjourney(0.045); ai technology(0.042),stimuli(0.560); visual(0.366); ai generated(0.336); artificial intelligence(0.274); generated(0.270); participants(0.189); product(0.114); design task(0.112); midjourney(0.112); ai technology(0.105),
A cognitive analysis-based key concepts derivation approach for product design,2024,,,concepts(0.144); thinking(0.129); key(0.101); language(0.096); design thinking(0.092); product(0.075); concept(0.067); customer(0.067); generation(0.059); information(0.050),concepts(0.359); thinking(0.323); key(0.252); language(0.241); design thinking(0.230); product(0.187); concept(0.168); customer(0.168); generation(0.147); information(0.125),
TRIZ MAPPING AND NOVELTY DETECTION OF ENGINEERING DESIGN PATENTS USING MACHINE LEARNING,2022,,,reconstruction(0.156); error(0.125); autoencoder(0.117); useful(0.105); patent(0.105); investigates(0.078); document(0.074); technical(0.074); unsupervised(0.074); resources(0.074),reconstruction(0.390); error(0.312); autoencoder(0.292); useful(0.264); patent(0.264); investigates(0.195); document(0.184); technical(0.184); unsupervised(0.184); resources(0.184),
Data-driven multi-objective affective product design integrating three-dimensional form and color,2022,,,complete(0.160); model(0.121); comprehensive(0.103); relationship(0.102); emotion(0.097); ii(0.090); affective(0.084); appearance(0.084); design model(0.076); color(0.076),complete(0.399); model(0.301); comprehensive(0.259); relationship(0.254); emotion(0.243); ii(0.226); affective(0.211); appearance(0.211); design model(0.190); color(0.190),
EVALUATING HEURISTICS IN ENGINEERING DESIGN: A REINFORCEMENT LEARNING APPROACH,2021,,,sub(0.167); problem(0.117); problems(0.117); suitable(0.079); reinforcement(0.075); reinforcement learning(0.075); addressing(0.075); learn(0.072); different(0.069); designers(0.066),sub(0.418); problem(0.292); problems(0.292); suitable(0.198); reinforcement(0.189); reinforcement learning(0.189); addressing(0.189); learn(0.181); different(0.172); designers(0.164),
"An Integrated Modeling Framework for Automated Product Design, Topology Optimization, and Mechanical Simulation",2024,,,optimization(0.129); product development(0.088); design optimization(0.088); product(0.076); platform(0.076); software(0.070); order(0.068); integrated(0.068); modeling(0.064); technologies(0.060),optimization(0.322); product development(0.219); design optimization(0.219); product(0.190); platform(0.189); software(0.176); order(0.171); integrated(0.171); modeling(0.161); technologies(0.149),
CAN MACHINE LEARNING TOOLS SUPPORT THE IDENTIFICATION OF SUSTAINABLE DESIGN LEADS FROM PRODUCT REVIEWS? OPPORTUNITIES AND CHALLENGES,2021,,,sustainable(0.218); reviews(0.108); product reviews(0.100); products(0.081); insights(0.081); product(0.068); leads(0.067); including(0.062); opportunities(0.059); customers(0.056),sustainable(0.546); reviews(0.270); product reviews(0.250); products(0.203); insights(0.202); product(0.169); leads(0.167); including(0.156); opportunities(0.148); customers(0.141),
Weaving ML with Human Aesthetic Assessments to Augment Design Space Exploration: An Automotive Wheel Design Case Study,2024,,,designers(0.124); consumers(0.118); work(0.085); designs(0.085); novel(0.085); framework(0.079); product(0.077); support(0.074); aesthetic(0.063); models(0.063),designers(0.309); consumers(0.295); work(0.211); designs(0.211); novel(0.211); framework(0.197); product(0.192); support(0.185); aesthetic(0.158); models(0.157),
Data-Driven Global Sensitivity Analysis of Variable Groups for Understanding Complex Physical Interactions in Engineering Design,2024,,,effects(0.131); variables(0.116); interpretable(0.088); global(0.082); groups(0.078); decomposition(0.078); response(0.074); relationships(0.074); engineering design(0.072); components(0.071),effects(0.329); variables(0.291); interpretable(0.219); global(0.205); groups(0.194); decomposition(0.194); response(0.185); relationships(0.185); engineering design(0.181); components(0.177),
Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning: application to vehicle crash safety,2022,,,responses(0.179); virtual(0.119); generated(0.117); learning(0.085); augmentation(0.085); transfer learning(0.080); actual(0.080); transfer(0.072); domain knowledge(0.072); deep learning(0.070),responses(0.449); virtual(0.298); generated(0.293); learning(0.213); augmentation(0.213); transfer learning(0.199); actual(0.199); transfer(0.179); domain knowledge(0.179); deep learning(0.176),
NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,2023,,,product(0.118); properties(0.097); real time(0.090); manufacturing(0.086); structural(0.086); associated(0.086); industries(0.082); machine learning(0.075); real(0.073); specific(0.071),product(0.295); properties(0.242); real time(0.226); manufacturing(0.214); structural(0.214); associated(0.214); industries(0.204); machine learning(0.188); real(0.182); specific(0.176),
Contextual Meaning-Based Approach to Fine-Grained Online Product Review Analysis for Product Design,2024,,,contextual(0.136); product(0.118); meanings(0.117); features(0.115); sub(0.109); customer(0.106); product features(0.087); customer satisfaction(0.082); opinions(0.077); satisfaction(0.074),contextual(0.341); product(0.296); meanings(0.291); features(0.287); sub(0.272); customer(0.266); product features(0.218); customer satisfaction(0.204); opinions(0.193); satisfaction(0.184),
Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,2020,,,machine(0.118); decision(0.103); basis(0.096); real(0.077); innovative(0.075); gap(0.075); input(0.071); making(0.069); support(0.060); use(0.057),machine(0.296); decision(0.259); basis(0.241); real(0.194); innovative(0.188); gap(0.188); input(0.177); making(0.172); support(0.150); use(0.142),
Product Design Award Prediction Modeling: Design Visual Aesthetic Quality Assessment via DCNNs,2020,,,aesthetic(0.187); classification(0.133); image(0.091); optimal(0.086); visual(0.082); product(0.076); deep(0.065); classification modeling(0.062); seven(0.058); loss(0.058),aesthetic(0.468); classification(0.331); image(0.228); optimal(0.215); visual(0.204); product(0.190); deep(0.163); classification modeling(0.156); seven(0.146); loss(0.146),
Leveraging deep reinforcement learning for design space exploration with multi-fidelity surrogate model,2024,,,optimisation(0.236); reinforcement(0.112); reinforcement learning(0.112); deep(0.087); learning(0.078); design optimisation(0.067); automation(0.059); self(0.054); exploration(0.052); simulation(0.049),optimisation(0.590); reinforcement(0.281); reinforcement learning(0.281); deep(0.218); learning(0.195); design optimisation(0.167); automation(0.147); self(0.135); exploration(0.130); simulation(0.121),
Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),2024,,,attributes(0.135); reviews(0.116); machine learning(0.112); product attributes(0.108); combined(0.087); analyzing(0.084); customer(0.079); online(0.076); impact(0.074); product(0.073),attributes(0.336); reviews(0.291); machine learning(0.280); product attributes(0.270); combined(0.218); analyzing(0.210); customer(0.197); online(0.191); impact(0.186); product(0.183),
Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AI/ML Algorithms,2021,,,activities(0.180); monitoring(0.135); output(0.119); specific(0.098); work(0.090); supported(0.090); offers(0.080); designer(0.073); task(0.070); input(0.062),activities(0.450); monitoring(0.337); output(0.299); specific(0.246); work(0.226); supported(0.225); offers(0.199); designer(0.182); task(0.175); input(0.155),
Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,2025,,,ai models(0.132); artificial intelligence(0.121); shape(0.120); generative(0.118); models(0.099); advantages(0.080); conceptual(0.077); exploration(0.077); image(0.072); text(0.068),ai models(0.329); artificial intelligence(0.304); shape(0.301); generative(0.296); models(0.247); advantages(0.201); conceptual(0.193); exploration(0.193); image(0.181); text(0.171),
Learning to Design Without Prior Data: Discovering Generalizable Design Strategies Using Deep Learning and Tree Search,2023,,,problem(0.118); agent(0.101); search(0.096); ability(0.091); framework(0.090); goal(0.088); learn(0.088); self(0.088); policy(0.072); prior(0.068),problem(0.295); agent(0.253); search(0.240); ability(0.229); framework(0.225); goal(0.219); learn(0.219); self(0.219); policy(0.181); prior(0.169),
Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,2024,,,assessing(0.144); product(0.104); utilizes(0.091); learning(0.086); similar(0.083); feature(0.075); approaches(0.075); designs(0.069); images(0.064); framework(0.064),assessing(0.360); product(0.261); utilizes(0.227); learning(0.214); similar(0.208); feature(0.187); approaches(0.187); designs(0.172); images(0.160); framework(0.160),
Margin-based approach for outlier detection of industrial design data using a modified general regression neural network,2022,,,design parameters(0.188); parameters(0.152); boundaries(0.152); industrial(0.095); lower(0.075); called(0.070); industrial design(0.067); regression(0.067); range(0.064); predict(0.061),design parameters(0.471); parameters(0.381); boundaries(0.381); industrial(0.238); lower(0.188); called(0.176); industrial design(0.167); regression(0.167); range(0.159); predict(0.152),
"Graph models for engineering design: Model encoding, and fidelity evaluation based on dataset and other sources of knowledge",2023,,,fidelity(0.156); variables(0.138); knowledge(0.116); modeling(0.081); extracting(0.073); presenting(0.073); dimensional(0.069); early(0.066); functions(0.063); model(0.063),fidelity(0.390); variables(0.345); knowledge(0.291); modeling(0.201); extracting(0.182); presenting(0.182); dimensional(0.173); early(0.165); functions(0.158); model(0.156),
ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,2024,,,knowledge(0.112); tasks(0.109); classification(0.106); bert(0.105); domain(0.103); generation(0.095); specific(0.082); enhance(0.075); domain specific(0.075); researchers(0.066),knowledge(0.279); tasks(0.273); classification(0.265); bert(0.262); domain(0.258); generation(0.239); specific(0.205); enhance(0.188); domain specific(0.187); researchers(0.166),
The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,2024,,,cognition(0.131); knowledge(0.131); generative(0.105); field(0.102); line(0.088); scheme(0.082); context(0.082); engineering design(0.072); new(0.065); innovation(0.064),cognition(0.328); knowledge(0.327); generative(0.261); field(0.256); line(0.219); scheme(0.205); context(0.205); engineering design(0.181); new(0.163); innovation(0.160),
A case-based knowledge graph with reinforcement learning for intelligent design approach of complex product,2024,,,case(0.152); knowledge(0.127); knowledge graph(0.119); graph(0.107); reinforcement learning(0.072); reinforcement(0.072); components(0.069); challenge(0.069); component(0.069); identifying(0.064),case(0.380); knowledge(0.317); knowledge graph(0.298); graph(0.269); reinforcement learning(0.179); reinforcement(0.179); components(0.172); challenge(0.172); component(0.172); identifying(0.160),
Research on design forms based on artificial intelligence collaboration model,2024,,,shape(0.113); design form(0.105); aigc(0.105); step(0.098); seven(0.098); exploration(0.082); form(0.074); prompt(0.070); ideas(0.070); topology(0.065),shape(0.283); design form(0.263); aigc(0.263); step(0.246); seven(0.246); exploration(0.205); form(0.186); prompt(0.175); ideas(0.175); topology(0.164),
A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,2024,,,properties(0.142); models(0.118); generative(0.113); designs(0.095); mechanical(0.094); gan(0.094); generative models(0.084); element(0.084); innovative(0.069); generation(0.060),properties(0.354); models(0.294); generative(0.282); designs(0.237); mechanical(0.236); gan(0.236); generative models(0.209); element(0.209); innovative(0.172); generation(0.151),
Combining style generative adversarial networks with particle swarm optimisation-support vector regression to design affective social robot for public health intervention,2025,,,shape(0.178); social(0.103); mapping model(0.082); aigc(0.082); pso(0.082); emotional(0.078); robot(0.073); health(0.070); sample(0.070); model(0.066),shape(0.445); social(0.257); mapping model(0.206); aigc(0.206); pso(0.206); emotional(0.194); robot(0.182); health(0.174); sample(0.174); model(0.165),
"Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",2022,,,specifications(0.207); text(0.080); algorithm(0.078); important(0.074); improve(0.067); reading(0.058); reduces(0.055); model training(0.055); language processing nlp(0.055); power(0.055),specifications(0.516); text(0.201); algorithm(0.195); important(0.186); improve(0.167); reading(0.146); reduces(0.136); model training(0.136); language processing nlp(0.136); power(0.136),
TEACHING AI TO DESIGN FROM HUMANS: A COMPARISON OF BEHAVIORAL CLONING ARCHITECTURES,2023,,,rl(0.203); human(0.154); agents(0.152); decision(0.102); agent(0.095); trained(0.082); issue(0.051); artificial intelligence(0.050); electric(0.048); central(0.048),rl(0.508); human(0.385); agents(0.381); decision(0.255); agent(0.238); trained(0.206); issue(0.127); artificial intelligence(0.124); electric(0.119); central(0.119),
Plan-Based Derivation of General Functional Structures in Product Design,2024,,,decomposition(0.184); function(0.157); planning(0.156); problem(0.102); functions(0.084); solutions(0.072); artificial intelligence(0.055); intelligence(0.054); artificial(0.054); supported(0.052),decomposition(0.461); function(0.392); planning(0.391); problem(0.255); functions(0.211); solutions(0.179); artificial intelligence(0.139); intelligence(0.136); artificial(0.134); supported(0.130),
Machine learning for topology optimization: Physics-based learning through an independent training strategy,2022,,,topology(0.204); topology optimization(0.204); optimization(0.150); machine learning model(0.062); ai driven(0.062); framework(0.058); learning model(0.055); computational(0.047); cost(0.045); tool(0.044),topology(0.510); topology optimization(0.510); optimization(0.375); machine learning model(0.156); ai driven(0.156); framework(0.146); learning model(0.138); computational(0.117); cost(0.114); tool(0.110),
Classifying design-level requirements using machine learning for a recommender of interaction design patterns,2020,,,interactive(0.134); requirements(0.098); patterns(0.089); support designers(0.084); support(0.083); decision making(0.071); software(0.071); classification(0.067); level(0.063); decision(0.063),interactive(0.335); requirements(0.244); patterns(0.221); support designers(0.209); support(0.207); decision making(0.178); software(0.178); classification(0.167); level(0.159); decision(0.159),
User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,2024,,,creativity(0.161); human(0.108); designers(0.105); artificial intelligence(0.105); impact(0.098); experience(0.079); human factors(0.071); does(0.067); job(0.067); enterprises(0.067),creativity(0.402); human(0.270); designers(0.261); artificial intelligence(0.261); impact(0.245); experience(0.196); human factors(0.178); does(0.166); job(0.166); enterprises(0.166),
A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning,2021,,,emotional(0.168); speech(0.163); user(0.092); emotion recognition(0.089); emotion(0.085); user emotional(0.079); signal(0.074); emotional design(0.074); input(0.072); recognition(0.067),emotional(0.419); speech(0.408); user(0.229); emotion recognition(0.222); emotion(0.213); user emotional(0.197); signal(0.185); emotional design(0.185); input(0.181); recognition(0.168),
Exploring the Potential of Large Language Models in Radiological Imaging Systems: Improving User Interface Design and Functional Capabilities,2024,,,llms(0.147); capabilities(0.136); llm(0.092); language(0.091); chat(0.088); natural language(0.087); interface(0.083); natural(0.080); user(0.076); students(0.070),llms(0.367); capabilities(0.339); llm(0.231); language(0.227); chat(0.220); natural language(0.217); interface(0.208); natural(0.199); user(0.189); students(0.174),
Combining a Universal OBD-II Module with Deep Learning to Develop an Eco-Driving Analysis System,2021,,,driving(0.201); ii(0.152); module(0.101); different(0.097); vehicle(0.092); universal(0.071); developed(0.071); deep learning methods(0.067); learning methods(0.064); achieving(0.064),driving(0.503); ii(0.379); module(0.252); different(0.244); vehicle(0.230); universal(0.177); developed(0.177); deep learning methods(0.168); learning methods(0.160); achieving(0.160),
Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,2024,,,genetic(0.184); genetic algorithm(0.184); algorithm(0.123); efficient(0.065); model(0.062); error(0.061); pso(0.061); electric(0.057); neural network(0.056); interface(0.055),genetic(0.461); genetic algorithm(0.461); algorithm(0.309); efficient(0.163); model(0.154); error(0.154); pso(0.154); electric(0.144); neural network(0.140); interface(0.137),
Empirical Evidence on Conversational Control of GUI in Semantic Automation,2024,,,user interface(0.201); conversational(0.137); automation(0.081); user(0.079); semantic(0.074); control(0.071); work(0.061); language(0.048); interaction(0.048); prompt(0.046),user interface(0.504); conversational(0.343); automation(0.201); user(0.198); semantic(0.184); control(0.177); work(0.153); language(0.119); interaction(0.119); prompt(0.114),
APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,2023,,,reading(0.151); emotion(0.123); ar(0.114); emotional(0.107); deep(0.099); deep learning(0.084); interactive(0.080); model emotion(0.076); technology(0.066); difficult(0.064),reading(0.379); emotion(0.307); ar(0.284); emotional(0.268); deep(0.248); deep learning(0.209); interactive(0.201); model emotion(0.189); technology(0.166); difficult(0.160),
Society sync - Digitalize society management systems with artificial intelligence technologies,2022,,,management(0.238); module(0.105); easier(0.074); best(0.074); big(0.074); vehicle(0.064); functions(0.064); services(0.062); employed(0.060); software(0.060),management(0.595); module(0.264); easier(0.186); best(0.186); big(0.186); vehicle(0.161); functions(0.161); services(0.155); employed(0.149); software(0.149),
AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING,2024,,,emotion(0.201); emotion recognition(0.120); recognition(0.091); model(0.071); eeg(0.071); gan(0.071); detection(0.066); self attention(0.066); deep learning(0.059); self(0.058),emotion(0.503); emotion recognition(0.300); recognition(0.227); model(0.178); eeg(0.178); gan(0.178); detection(0.166); self attention(0.166); deep learning(0.147); self(0.144),
The Application of Deep Learning for the Evaluation of User Interfaces,2022,,,designs(0.134); user(0.131); machine learning(0.117); model(0.100); learning model(0.089); given(0.085); software(0.075); new(0.075); user interface(0.062); interface(0.060),designs(0.336); user(0.327); machine learning(0.293); model(0.251); learning model(0.222); given(0.211); software(0.189); new(0.187); user interface(0.156); interface(0.150),
Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,2021,,,user interface(0.151); interface(0.145); user(0.127); end(0.091); sketch(0.086); app(0.082); components(0.079); users(0.076); development(0.071); mobile(0.071),user interface(0.378); interface(0.362); user(0.316); end(0.227); sketch(0.215); app(0.205); components(0.196); users(0.190); development(0.178); mobile(0.177),
A User Review Analysis Tool Empowering Iterative Product Design,2024,,,user(0.199); tool(0.108); feedback(0.089); summarizing(0.076); evolution(0.076); topics(0.071); opinions(0.068); developers(0.068); understanding user(0.065); features(0.064),user(0.498); tool(0.270); feedback(0.223); summarizing(0.191); evolution(0.191); topics(0.179); opinions(0.169); developers(0.169); understanding user(0.161); features(0.161),
Configuration-Based Smart Customization Service: A Multitask Learning Approach,2020,,,customization(0.165); smart(0.137); needs(0.113); customers(0.112); customer needs(0.088); product(0.081); specifications(0.078); service(0.075); product specifications(0.066); customer(0.064),customization(0.413); smart(0.342); needs(0.282); customers(0.280); customer needs(0.221); product(0.202); specifications(0.196); service(0.186); product specifications(0.166); customer(0.161),
Exploring the Potential of Chatbots in Extending Tourists' Sustainable Travel Practices,2024,,,chatbot(0.196); developed(0.081); potential(0.076); artificial intelligence(0.064); bring(0.061); behaviors(0.061); sustainable(0.061); use ai(0.061); interviews(0.058); behavior(0.058),chatbot(0.489); developed(0.203); potential(0.191); artificial intelligence(0.160); bring(0.152); behaviors(0.152); sustainable(0.152); use ai(0.152); interviews(0.144); behavior(0.144),
Digital servitization of symbiotic service composition in product-service systems,2022,,,physical(0.158); simulations(0.131); services(0.109); issue(0.094); resources(0.083); manufacturing(0.083); service(0.079); platform(0.076); computational(0.070); terms(0.068),physical(0.395); simulations(0.328); services(0.273); issue(0.234); resources(0.207); manufacturing(0.207); service(0.197); platform(0.189); computational(0.176); terms(0.171),
Collaborative Decision-Making Assistant for Healthcare Professionals: A Human-Centered AI Prototype Powered by Azure Open AI,2023,,,artificial intelligence(0.204); prototype(0.176); highlights(0.098); making(0.070); algorithms(0.057); human(0.053); utilization(0.049); centered(0.049); sub(0.049); use ai(0.049),artificial intelligence(0.511); prototype(0.441); highlights(0.244); making(0.175); algorithms(0.141); human(0.132); utilization(0.122); centered(0.122); sub(0.122); use ai(0.122),
Impaction of Artificial Intelligence on Interaction Design,2021,,,recognition(0.146); ai technology(0.143); technology(0.134); interaction(0.120); speech recognition(0.076); artificial intelligence(0.075); mode(0.072); face(0.072); speech(0.068); intelligence ai(0.060),recognition(0.366); ai technology(0.358); technology(0.335); interaction(0.300); speech recognition(0.191); artificial intelligence(0.187); mode(0.179); face(0.179); speech(0.169); intelligence ai(0.149),
PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,2020,,,kansei(0.191); perception(0.143); kansei engineering(0.095); product(0.066); deep learning(0.060); deep(0.056); human(0.055); consistency(0.054); packaging(0.050); machines(0.050),kansei(0.477); perception(0.358); kansei engineering(0.239); product(0.164); deep learning(0.149); deep(0.141); human(0.136); consistency(0.135); packaging(0.126); machines(0.126),
Will artificial intelligence platforms replace designers in the future? analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,2024,,,color(0.162); artificial intelligence(0.127); intelligence(0.125); artificial(0.123); involved(0.089); groups(0.085); focus(0.081); stage(0.070); effects(0.048); chi(0.048),color(0.404); artificial intelligence(0.318); intelligence(0.313); artificial(0.307); involved(0.224); groups(0.212); focus(0.202); stage(0.174); effects(0.120); chi(0.120),
Intelligent emotion recognition in product design using multimodal physiological signals and machine learning,2024,,,physiological signals(0.121); product(0.115); physiological(0.113); frequency(0.107); signals(0.107); product emotion(0.081); time(0.072); multimodal(0.068); emotion(0.065); emotions(0.065),physiological signals(0.303); product(0.287); physiological(0.283); frequency(0.268); signals(0.268); product emotion(0.202); time(0.181); multimodal(0.170); emotion(0.163); emotions(0.163),
