Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
182,182_Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive TextVoice Artificial Intelligence (AI) Agent,,,,,"The paper focuses on developing AI systems to support engineering design problem-solving, uses datasets from expert engineering designers, and is authored from Stanford's Center for Design Research (Mechanical Engineering Department). The work specifically addresses collaborative engineering design tasks and problem formulation in conceptual design.","The paper analyzes conversational transcripts capturing human collaborative interactions during design problem-solving and technical support, representing behavioral data about communication patterns.",The paper trains language models (LSTM-based) on text transcripts from Ubuntu community support chats and design session transcripts. All training data and model outputs are text-based sequences.,"The paper implements LSTM-based neural networks with multiple hidden layers for text/sentence generation tasks, which is a deep learning approach applied to natural language processing.",The Disruptive Interjector system both generates design suggestions (text/voice phrases) to aid ideageneration and helps designers make sense of the design space by encouraging divergent exploration of possibilities rather than converging to solutions.,"The paper focuses on idea generation, divergent thinking, and conceptual design phase. The AI system is designed to interject with suggestions during collaborative ideation to help generate and explore multiple solution possibilities, which are core activities of the Develop phase.","The paper focuses on developing an AI system that supports collaborative idea generation during design tasks. The system observes human actions and provides suggestions to aid ideageneration and problem solving, explicitly aiming to diverge from solutions and encourage exploration of other possibilities during collaborative ideation.",Analyzed by PDF Analyzer on 2025-10-22,
130,130_Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,,,,,"The paper focuses on computer-aided conceptual design for product design, specifically using automotive design (Buick cars) as a case study. The research explores Text-to-Image AI models as tools for product shape exploration and compares them with Shape Grammars, a traditional generative approach in product design. The entire study is centered on supporting product designers in formal exploration and concept generation.","The paper analyzes and generates product design data, specifically visual features and grammar elements of Buick car designs (grills, fenders, hoods, etc.) across different eras. The data concerns product characteristics, brand identity, and design variations rather than human perception, behavior, or other categories.","The paper focuses on Text-to-Image AI models that generate images from text prompts, and also uses images as conditioning inputs through techniques like Image-to-image and ControlNet, making it inherently multimodal involving both text and image data.","The paper focuses on Text-to-Image generative AI models, specifically Stable Diffusion and other diffusion-based models (DALL-E2, Midjourney) for computer-aided conceptual design. These are generative AI systems that create images from text prompts.","The paper focuses exclusively on using Text-to-Image AI models (Stable Diffusion) to generate new product design concepts, explore shape variations, and produce visual design alternatives. The entire study demonstrates AI's role in generative design tasks, specifically creating car designs that maintain brand identity while exploring different styles, eras, and vehicle segments. The AI model generates concepts through text-to-image synthesis, image-to-image variations, and controlled generation processes.","This paper focuses on conceptual design activities including generating design concepts, exploring shape variations, and iterating on design alternatives using computational tools. The entire study revolves around creating and refining Buick car design concepts through Shape Grammars and AI models, which are core development phase activities.","The paper focuses on the conceptual design stage, specifically on using AI models as creative support tools for shape exploration and generating new product concepts. The study compares Text-to-Image AI models with Shape Grammars for exploring formal design alternatives and generating concept variations in early-stage product design.",Analyzed by PDF Analyzer on 2025-10-22,
86,86_Ecological Design with the Use of Selected Inventive Methods including AI-Based,,,,,"This paper focuses on the engineering design and development of a physical household appliance (mini refrigerator) using eco-design principles, inventive methods, material selection, manufacturing processes, and product lifecycle management - all core aspects of industrial/engineering/product design.","The research analyzes data about product characteristics, specifications, and lifecycle properties. The study uses 54 input parameters covering product design, materials, manufacturing, assembly, maintenance, recyclability, and environmental qualities of the refrigerator. The ANN model processes product-related questions to assess environmental quality.","The research primarily relies on text-based questionnaires and categorical text responses collected from students during creativity sessions, which are then converted to numerical scores for environmental quality assessment and artificial neural network analysis.","The paper uses a three-layer feed-forward artificial neural network (MLP) with back-propagation algorithm for environmental quality assessment. This is a shallow neural network architecture with only one hidden layer, which falls under traditional machine learning rather than deep learning.","The artificial neural network (ANN) serves dual purposes: (1) predicting environmental quality assessment (EQA) categories based on 54 design parameters across pre-manufacturing, manufacturing, and post-manufacturing stages, and (2) validating/evaluating the eco-design approach by assessing the environmental quality of the designed refrigerator. The ANN estimates outcomes and validates the legitimacy of eco-friendly design decisions.","The paper focuses on creating and developing an actual product design for an eco-innovative refrigerator. The work includes concept development through inventive methods, detailed design specifications, material selection, structural design, and environmental analysis. The authors explicitly state the product was designed but not manufactured, placing this squarely in the development phase where solutions are created and evaluated.","The paper focuses on the detailed design and development phase of an eco-friendly refrigerator, including material selection, product structure design, and environmental analysis. The work covers concept development through creativity sessions, detailed design specifications, material selection, and environmental quality assessment.",Analyzed by PDF Analyzer on 2025-10-22,
104,104_Topology Optimization of Industrial Equipment A Deep Learning Approach and Software Implement,,,,,"The paper focuses on topology optimization for industrial equipment and product design using engineering methods (SIMP method, finite element analysis). The entire study is centered on optimizing structural design of equipment products through computational engineering approaches.","The paper focuses on topology optimization of industrial equipment and products, analyzing structural parameters, material distribution, geometric properties, and performance characteristics of physical products to optimize their design.","The paper processes topology optimization data as image-based inputs for the convolutional neural network. Displacement fields and volume fractions are converted into multi-channel image tensors, and the output topology structures are represented as 2D density matrices that are visualized as images.","The paper uses deep convolutional neural networks (specifically U-Net architecture) to predict topology optimization structures from displacement field images. The input and output are both visual/image data (displacement matrices and topology structures), and the method employs CNN-based deep learning for image-to-image prediction tasks.",The deep learning model both generates topology structures as design outputs and predicts optimal topology configurations based on input displacement fields. It creates new topology designs while simultaneously predicting which structures will be most suitable for given boundary conditions.,"The paper focuses on developing topology optimization software using PyQt, creating a deep learning model based on CNN, generating training datasets, testing and validating the models through iterative experiments, and comparing results between traditional methods and the neural network approach. These activities of solution creation, prototyping, testing, and iteration are characteristic of the Develop phase.","The paper focuses on topology optimization for equipment product design, which involves automated generation of optimal structural forms and material distributions. The research develops software and deep learning models to automatically generate topology structures based on input parameters and constraints, which is a core design development and generation activity.",Analyzed by PDF Analyzer on 2025-10-22,
132,132_Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,,,,,"This paper focuses on product repairability assessment for physical consumer electronics (smartphones), employing design-for-X methodologies such as design for disassembly and repair. The research addresses product design factors affecting repairability, disassembly sequences, and physical component accessibility, which are core concerns of industrial and engineering design rather than service/system or UI/UX design.","This paper analyzes physical product characteristics from teardown and X-ray images of smartphones to assess repairability. The data focuses on product design features such as component layout, fastener types, disassembly sequence, and structural attributes rather than human perception, behavior, or other categories.",The research exclusively uses visual data in the form of teardown images and X-ray images of smartphones as inputs to deep learning models for repairability assessment. No other data modalities are analyzed.,"The paper employs deep convolutional neural networks (ConvNeXt, GoogLeNet, ResNet50, VGG16) with transfer learning for image-based repairability assessment. These are established deep learning architectures for computer vision tasks, applied to classify product teardown and X-ray images.","The AI system performs two primary functions: (1) predicting repairability scores from teardown images using deep learning models, and (2) evaluating products to support decision-making about whether devices should be repaired or not. The supervised learning framework predicts numerical repairability scores, while the overall system assists in validation and evaluation decisions for repair shops and manufacturers.","This paper focuses on developing and testing two AI-based frameworks for assessing product repairability. The research creates machine learning models (ConvNeXt, GoogLeNet, ResNet50, VGG16), implements both supervised and unsupervised learning approaches, and evaluates their performance through testing and validation using smartphone teardown images. The work involves building prototypes of automated scoring systems and iteratively testing their accuracy.","The paper focuses on developing automated evaluation systems to assess and rate product repairability during the design phase. It provides tools for designers and manufacturers to evaluate design alternatives based on ease of repair and disassembly, which is a core design evaluation activity.",Analyzed by PDF Analyzer on 2025-10-22,
128,128_Discovering the relationship between attributes of facial masks and review rating in online customer reviews using Explainable Artificial Intelligence (XAI),,,,,"The paper focuses on analyzing customer reviews to identify physical product attributes of facial masks (fit, comfort, nose strap, materials, filtering level) and using these insights to guide product improvement and innovation. The research explicitly aims to support product design and development of face masks.","The paper analyzes online customer reviews to extract and evaluate attributes of facial masks (FFP2 and KN95). The data consists of customer comments describing product features such as fit, quality, comfort, certification, labeling, filtering level, strap design, and packaging. The identified topics all relate to product characteristics rather than user demographics, behaviors, perceptions, or physiological responses.","The study analyzes online customer reviews collected from Amazon, specifically textual comments written in Spanish. The researchers applied text-mining techniques, natural language processing, and Latent Dirichlet Allocation (LDA) for topic modeling on 2,047 textual reviews.","The paper employs Latent Dirichlet Allocation (LDA) for topic modeling and Gradient Boosting Trees (GBT) for classification, both of which are traditional machine learning methods rather than deep learning approaches. SHAP is used for model explainability.","The paper employs AI in three distinct ways: (1) Prediction - GBT model predicts star ratings based on topic contributions from reviews; (2) Sense making - LDA identifies latent topics from customer reviews to understand product attributes, and SHAP explains model predictions to interpret feature importance; (3) Decision making - The derived insights guide product improvement decisions and innovation agenda for face mask design.","This paper focuses on identifying and defining user needs, preferences, and requirements by analyzing online customer reviews to understand which product attributes influence customer satisfaction. The research extracts product attributes and assesses their importance to inform product improvement, which is characteristic of the Define phase where user requirements and preferences are systematically determined.","The paper focuses on identifying user needs, preferences, and product requirements through analysis of online customer reviews to guide product improvement and design innovation. This represents the Define phase where designers seek to understand customer requirements and define problem spaces for product development.",Analyzed by PDF Analyzer on 2025-10-22,
111,111_An approach to user knowledge acquisition in product design,,,,,"This paper focuses on product design methodology, specifically addressing user knowledge acquisition for physical product development. The case study involves washing machine design, which is a clear example of industrial/engineering product design. The paper discusses product models, manufacturing considerations, and tangible product specifications.","The paper focuses on collecting and analyzing data about product features, functions, and specifications. The methodology extracts user requirements and maps them to product models, with the case study examining washing machine functions like sterilization, drying, anti-deformation, and other product characteristics.","The paper focuses exclusively on processing user-submitted text solutions through natural language processing (NLP) techniques. Users submit product design ideas in text form, which are then analyzed using NLP methods including word segmentation, Word2vec, and sentiment analysis to extract design information.","The paper employs machine learning approaches including Word2vec for semantic similarity, collaborative filtering for recommendations, and natural language processing for text mining. These are traditional/shallow ML methods rather than deep learning architectures. The methodology combines machine learning with rough set theory for knowledge extraction and decision-making in product design.","The paper describes a comprehensive AI system that performs three distinct assistance functions: (1) Prediction - for forecasting vacant/missing items in user solutions, (2) Decision making - using rough set theory to support product model decisions, and (3) Sense making - using NLP to extract knowledge from user text and transform unstructured text into structured design information.","This paper focuses on requirements elicitation and user knowledge acquisition to define product specifications. The methodology transforms user-generated text into structured design information and requirements that inform design decisions, which is characteristic of the Define phase where user needs are captured and translated into actionable design specifications.","The paper focuses on acquiring and defining user requirements through knowledge extraction, transforming user inputs into design specifications that inform product model decisions. This involves systematic elicitation, interaction, and knowledge discovery processes to map user needs to product features.",Analyzed by PDF Analyzer on 2025-10-22,
149,149_The form of AI-driven luxury how generative AI (GAI) and Large Language Models (LLMs) are transforming the creative process,,,,,"The paper focuses on using generative AI (Midjourney) to design physical luxury products (bags). The entire study examines new product creativity, product development processes, and how AI can generate tangible luxury products while maintaining brand essence. This is clearly product design research.","The research collects data about consumer perceptions, opinions, attitudes, and emotional responses toward GAI-designed luxury products through qualitative interviews. The study investigates how consumers perceive brand essence, emotional bonds, and their cognitive evaluations of AI-authored products.",The research employs both text data (written prompts for AI generation and qualitative interview transcripts) and image data (original iconic luxury bags as input and AI-generated bag designs as output). The methodology explicitly uses text-to-image AI tools that combine written prompts with visual references.,"The paper explicitly focuses on Large Language Models (LLMs) and generative AI (GAI) tools like Midjourney for text-to-image generation in luxury product design. The methodology employs LLMs for creating new luxury bags from prompts, which represents large-scale generative AI applications.","The paper investigates how Generative AI (specifically Midjourney) is used to create new luxury bag designs by generating images from text prompts based on iconic luxury bags. The AI directly generates new creative product designs rather than predicting, evaluating, or coordinating.","The research focuses on generating new luxury product designs using GAI (Midjourney) and testing these designs with consumers through qualitative interviews. The study involves creating 100 AI-generated bag images, selecting prototypes, and evaluating consumer responses to assess design quality, brand essence reflection, and emotional bonds. This represents the development and testing phase where product concepts are created and validated.","The paper investigates how generative AI and LLMs (specifically Midjourney) are used to design new luxury products (bags), exploring the creative process of generating novel product concepts while maintaining brand essence. The research focuses on the product development phase where AI generates new designs based on existing iconic products.",Analyzed by PDF Analyzer on 2025-10-22,
88,88_Weighted unsupervised domain adaptation considering geometry features and engineering performance of 3D design data,,,,,"This paper focuses on engineering performance prediction for 3D road wheels in manufacturing, involving iterative design modeling, finite element analysis (FEA), and stress prediction for industrial product development. The application domain is clearly engineering design and product design in the automotive/manufacturing industry.","The paper focuses on predicting engineering performance metrics (stress values and locations) for physical products, specifically 3D road wheels. The data consists of product geometry features, structural properties, and engineering performance characteristics.","The primary input data consists of 3D wheel voxel representations (64×64×64 voxels) which are volumetric image data, combined with a scalar numerical feature (impact barrier mass). The 3D voxel data represents the core data modality as 3D geometric structures converted to volumetric images.","The paper proposes a deep learning-based approach using 3D convolutional neural networks (CNNs) to process 3D voxel design data. The feature extractor consists of five 3D convolutional layers with max-pooling and batch normalization, which are characteristic deep CV architectures for spatial data processing.","The paper proposes a deep learning model that predicts engineering performance metrics, specifically the magnitude of maximum von Mises stress and its corresponding location (x, y, z coordinates) in 3D road wheels. The model performs multi-output regression to replace time-consuming finite element analysis (FEA) by predicting stress values from 3D wheel voxel data and impact barrier mass inputs.","This paper focuses on engineering performance prediction and analysis during iterative design modeling. It addresses the testing and evaluation of design alternatives through deep learning-based prediction models that replace conventional finite element analysis, which is core to the development phase where designs are refined and validated.","The paper focuses on predicting and evaluating engineering performance during the product design process, specifically replacing conventional finite element analysis (FEA) with deep learning models to analyze design alternatives and optimize performance at the conceptual design stage.",Analyzed by PDF Analyzer on 2025-10-22,
170,170_APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS,,,,,"This paper focuses on creating AR interactive picture books, which involves both product design (applying emotional design theory to the physical/digital product) and UI/UX design (user interface and interaction design for AR elements). The paper explicitly discusses product emotional design and references user interface design and interaction design of AR books.",The paper analyzes emotion characteristics embedded in product design images and AR picture book visuals. The data consists of 2048 product design images labeled with emotional attributes and design features that generate emotions.,"The paper explicitly describes AR interactive picture books as comprehensive multimedia products combining multiple data modalities: images (picture book illustrations, 3D models, animations), text (reading content, subtitles), and audio (voice commentary, sound effects). The deep learning model analyzes picture book images for emotion recognition while the AR system integrates visual, textual, and auditory elements.","The paper uses deep learning architectures (CNN, DNN, VGGNet) for image emotion recognition and classification in AR picture books, which is a computer vision task. They train VGGNet on 2048 product design images to predict emotion categories from visual content.","The AI system uses deep learning (VGGNet) to predict and recognize emotional categories from picture book images, achieving 61.02% accuracy in emotion classification.","The paper focuses on establishing, creating, and training an emotion-based recognition model for AR interactive picture books. It describes the actual implementation of VGGNet deep learning network, model training with 1500 images, testing, and performance evaluation (61.02% accuracy). These activities clearly indicate the development phase where the solution is being built and implemented.","The paper focuses on the creation and development of AR interactive picture books using deep learning and emotional technology. The work involves building emotion recognition models, establishing AR picture book image sentiment analysis platforms, and implementing the actual creation of interactive picture books.",Analyzed by PDF Analyzer on 2025-10-22,
121,121_Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning application to vehicle crash safety,,,,,"This paper focuses on engineering design of vehicle crash safety systems, specifically bumper design optimization using CAE simulations and deep learning metamodeling. The application domain is automotive engineering with emphasis on structural design and multidisciplinary optimization.","The paper focuses on vehicle bumper design optimization using crash simulation data. The data consists of product specifications (thickness, material properties, design parameters) and product performance characteristics (force-displacement responses, strain energy) of the bumper system.","The study uses force-displacement (F–D) response data from vehicle crash simulations, which are sequential measurements sampled at intervals during the crash event. The data size [1056 × 2 × 1] represents temporal sequences of force measurements.","The paper explicitly develops and applies generative AI models, specifically Generative Adversarial Networks (GANs) and Variational Auto-Encoders (VAEs), to generate virtual crash response data for engineering design metamodeling.","The DDA system serves dual purposes: (1) predicting vehicle crash performance by generating virtual responses, and (2) providing design solutions by estimating design variables that affect the generated responses. The paper explicitly states design solutions were derived and the system can provide design solutions for enhancing vehicle crash safety.",The paper focuses on developing design solutions for vehicle crash safety using metamodeling techniques. The authors explicitly state the AI approaches are applied during the 'front-loading design stage' and the study derives design solutions through performance prediction and design variable estimation.,"The paper focuses on engineering design optimization and development using metamodeling techniques. It proposes a method for predicting system performance and deriving optimal design solutions through AI-based metamodeling, specifically applied to vehicle crash safety design. The work involves creating, testing, and optimizing engineering designs during the development phase.",Analyzed by PDF Analyzer on 2025-10-22,
141,"141_Intelligent RFQ Summarization Using Natural Language Processing, Text Mining, and Machine Learning Techniques",,,,,"The paper focuses on power transformer manufacturing, engineering specifications (voltage, capacity, impedance), and helping manufacturers with product design and cost estimation through automated RFQ analysis.","The paper analyzes RFQ documents containing technical specifications for power transformers, including voltage, capacity, impedance, and design requirements. The data is entirely about product specifications and manufacturing requirements.","The paper exclusively processes textual Request for Quotation (RFQ) documents using natural language processing, text mining, and text analytics techniques to extract specifications and generate summaries.","The paper primarily uses traditional ML techniques including TF-IDF, n-grams, K-means clustering, and Word2vec which is explicitly described as a shallow neural network model. No deep learning architectures are employed.","The system primarily performs sense making by automatically extracting and summarizing key information from complex RFQ documents, helping engineers understand lengthy technical specifications. It also supports decision making by validating requirements coverage, reducing misjudgment probability, and enabling accurate cost estimation for competitive bidding.","The paper focuses on developing and implementing an intelligent RFQ summarization system using NLP, text mining, and machine learning techniques. The research involves building models, training algorithms, creating a working system, and conducting experiments to validate the solution.",The paper focuses on automatically extracting and analyzing customer requirements from RFQ documents to support product design specification definition and cost estimation. The system helps engineers identify essential specifications and requirements to inform manufacturing design decisions and bidding processes.,Analyzed by PDF Analyzer on 2025-10-22,
123,123_NOVEL METHODOLOGY FOR REAL-TIME STRUCTURAL ANALYSIS ASSISTANCE IN CUSTOM PRODUCT DESIGN,,,,,"The paper focuses on real-time structural analysis assistance for custom product design using parametric CAD modeling and Finite Element Analysis (FEA). The case study involves designing an orthopedic fixator device with emphasis on mechanical properties, manufacturability, and structural validation - all core engineering design activities.","The paper focuses on analyzing parametric product models with geometric parameters (lengths, widths, distances, material properties) and associated physical quantities (deformation, stress, product mass). The dataset consists of product design parameters and their corresponding structural properties.","The paper works with structured numerical datasets consisting of geometric parameters (6 input features: bar length, diameter, thickness, etc.) and associated physical properties (deformation, stress, mass). The ML model processes tabular numerical data with 89 instances, where each row contains parametric values and corresponding physical quantities calculated via FEA.","The paper explicitly uses traditional machine learning algorithms including linear regression, K-Nearest Neighbors, Support Vector Machine, Decision Trees, Random Forest, and Gradient Boosting. These are all shallow models used for regression tasks to predict physical quantities from design parameters. No deep learning architectures are mentioned or used.","The AI system serves dual functions: (1) It predicts physical quantities and properties (stress, deformation, mass) based on design parameters using trained ML models, and (2) It enables real-time validation and assessment of custom product designs by providing immediate feedback on structural integrity without running expensive FEA simulations. The predictions are explicitly used for design validation and decision-making during the customization process.",The paper focuses on assisting designers during active product development by providing real-time structural analysis feedback while they tune geometric parameters and create custom product instances. This is a development-stage activity where designers iteratively refine and validate their designs.,"The paper focuses on validating the structural integrity and physical properties of custom product designs through real-time analysis. The methodology enables designers to validate design instances during the customization process by predicting physical quantities like deformation, stress, and mass without running expensive FEA simulations.",Analyzed by PDF Analyzer on 2025-10-22,
102,102_Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,,,,,"This paper focuses on recognizing and segmenting material microstructure images (carbon steel, ceramics, wood) which is fundamental to materials engineering, industrial design, and product development. The research directly supports material discovery and design processes in industrial production contexts.","The paper analyzes material microstructure images including carbon steel, ceramics, and wood surfaces for industrial design and production purposes. These are physical material/product images.","This paper focuses exclusively on the recognition and segmentation of material images including carbon steel, ceramics, and wood surface images using superpixel algorithms and deep learning. The entire methodology involves processing visual texture data from microscopy and material science imaging.","The paper proposes a material image segmentation method using DenseNet, a deep convolutional neural network (CNN), for computer vision tasks. The method leverages deep learning architectures including dense blocks, feature enhancement blocks, and is compared against other deep CV models like FCN, UNet, SegNet, and ResNet.","The AI system performs prediction by classifying rectangular blocks into material phase categories, and enables sense making by helping researchers understand material microstructure for quantitative analysis and materials design.","The paper focuses on developing and implementing a deep learning method for material image segmentation, including designing specific architectural components (FE blocks, upsampling methods), training models, and conducting extensive experiments to validate the approach.","The paper focuses on developing and implementing a deep learning-based method for material image segmentation. The authors propose, build, test and validate a technical solution combining superpixel algorithms with DenseNet architecture. The work involves creating the classification model, implementing improved network architecture, and extensive experimental validation.",Analyzed by PDF Analyzer on 2025-10-22,
156,156_PIKAR A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,,,,,"The paper focuses on developing a system for consumer product design, specifically analyzing cosmetic packaging design using Kansei Engineering principles. It explicitly mentions applications in industrial design, packaging design, and product development for consumer-oriented markets.","The paper focuses on Kansei engineering, which explicitly deals with customers' feelings and perception towards products. The study predicts human aesthetic perception (kawaii) of cosmetic packaging based on images labeled by participants according to their perceptual judgments.","The paper analyzes cosmetic packaging images using deep learning. The system processes 1,414 product images through a modified AlexNet to predict kawaii perception from raw pixel distributions.","The paper explicitly uses deep convolutional neural networks (modified AlexNet) for image-based classification and regression tasks. The system performs pixel-level image analysis to predict kawaii (cuteness) perception of cosmetic packaging, which is a computer vision application using transfer learning from ImageNet.","The system performs both prediction of kawaii values from product images and sense-making analysis to identify visual features that cause kawaii feelings. KawaiiNet and KawaiiScoreNet predict kawaii classifications and scores, while neuron analysis methodology identifies and interprets which design features contribute to kawaii perception.","The paper describes the construction, implementation, training, and validation of the PIKAR system. Activities include building neural network models, conducting experiments, testing accuracy, and iterating on the solution - all characteristic of the Develop phase where solutions are created and prototyped.","The paper presents a system for evaluating product designs (cosmetic packaging) based on user perception (Kansei/kawaii) and analyzing design features that contribute to user perception. The PIKAR system evaluates existing designs, identifies visual characteristics affecting perception, and provides insights to support future design decisions. This represents design evaluation combined with systematic analysis of design elements.",Analyzed by PDF Analyzer on 2025-10-22,
89,89_CREATIVEGAN EDITING GENERATIVE ADVERSARIAL NETWORKS FOR CREATIVE DESIGN SYNTHESIS,,,,,"The paper focuses on engineering design synthesis for product design, specifically demonstrating the method through bicycle design. It addresses computational design methods for creating physical products and enabling innovation in engineering design contexts.","The paper uses a dataset of bicycle designs containing 4,775 bikes and their component parts. The data represents physical product designs and their structural components, making this clearly about products rather than behaviors, perceptions, or other categories.","The paper focuses exclusively on generating and analyzing bicycle design images using StyleGAN2. The dataset consists of bike images used for training generative models and segmentation models. All methods involve image generation, image-based novelty detection, and image quality metrics.","The paper's primary AI method is Generative Adversarial Networks (GANs), specifically StyleGAN2, which is a generative model for synthesizing novel bicycle designs. GANs are generative AI models that learn to create new designs by training a generator and discriminator network.",The paper's primary focus is on automatically synthesizing novel bicycle designs using generative adversarial networks (GANs). The CreativeGAN method generates new designs by identifying unique features and modifying the GAN model to create more designs with those novel attributes. This is fundamentally a design generation/synthesis application.,"The paper focuses on design synthesis and generation of novel bicycle designs using computational methods. The entire methodology is centered on creating and generating design alternatives through GANs, which is the core activity of the Develop phase.",The paper focuses on automated synthesis and generation of novel designs using GANs. The core practice is creating new design alternatives through computational generative methods rather than manual iteration.,Analyzed by PDF Analyzer on 2025-10-22,
168,168_Empirical Evidence on Conversational Control of GUI in Semantic Automation,,,,,"This paper focuses on designing and evaluating a conversational graphical user interface (GUI) for a semantic automation system. The research involves empirical interaction design user studies, human-computer interaction evaluation, and user experience assessment with business analysts and data engineers.","The paper focuses on business intelligence data including customer churn, banking customer insights, and business analysis. The example datasets and use cases involve product/service-related business data for analytics.","The system primarily processes natural language text through conversational interfaces. Users interact via text-based chat, and the Large Language Model processes textual commands to control the UI.","The paper explicitly focuses on Large Language Models (LLMs) including GPT series and fine-tuned FLAN-T5 for conversational UI control, representing the latest generation of large-scale generative AI systems.","The system demonstrates multiple AI assistance types: (1) Design generation through auto-generated table captions, descriptions, tags, and conversational responses; (2) Prediction via semantic table join-ability search, intent recognition, and entity extraction; (3) Sense making by providing semantic enrichments, concept mappings, and data quality metrics to help users understand and interpret data.","The paper focuses on implementing a prototype conversational GUI system and conducting user studies to evaluate its efficacy and usability, which are core activities of the development phase.","The paper conducts empirical user studies to evaluate the efficacy and usability of a conversational GUI prototype. The research involves testing with 11 business analysts through structured tasks, pre- and post-questionnaires, and task success rate measurements to assess user engagement, satisfaction, and trust in the system.",Analyzed by PDF Analyzer on 2025-10-22,
87,87_Reinforcement for Automation,,,,,"This paper focuses on automating engineering design processes for mechanical components using Reinforcement Learning. The applications involve parametric CAD modeling, FEM analysis, and optimization of physical product parameters such as mass, stress, and deformation for bike parts (cranks and rockers). This clearly falls under engineering/product design rather than service design or UI/UX design.","The paper focuses on engineering design automation for physical mechanical products, specifically performance-oriented bike parts. The data involves geometric parameters, structural properties (mass, stress, deformation), and design characteristics of aluminum bike components.","The RL approach processes sequential numerical data consisting of geometric parameters (lengths, widths, angles, radii) and performance metrics (mass, stress, deformation) over discrete time steps and episodes. States are represented as 1-D arrays of numerical values that evolve temporally through the learning process.","This paper explicitly focuses on Reinforcement Learning (RL) for engineering design automation, utilizing Deep Q-Networks (DQN) and Q-Learning algorithms to automate repetitive design tasks in CAD and FEM environments.","The RL agent performs two distinct assistance functions: (1) it generates and modifies parametric designs by autonomously adjusting geometric parameters in CAD models, and (2) it makes sequential decisions about which design actions to take while continuously evaluating whether designs meet engineering requirements through reward functions that validate stress, mass, and other performance criteria.","The paper focuses on automating the detailing and refinement of geometric parameters in CAD systems to optimize designs against engineering requirements. This involves iterative design development and optimization of parametric models, which is characteristic of the Develop phase where solutions are created and refined.",The paper focuses on automating the detailed design and parameter optimization phase where geometric parameters in CAD models are refined to meet engineering requirements. This is clearly a development/detailed design activity involving parametric modeling and FEM analysis to optimize product characteristics.,Analyzed by PDF Analyzer on 2025-10-22,
144,144_Machine learning for topology optimization Physics-based learning through an independent training strategy,,,,,"The paper focuses on topology optimization for structural engineering design, developing machine learning methods to accelerate the design of engineering structures such as beams, bridges, and mechanical components for improved structural performance.","The paper focuses on topology optimization for engineering structures and mechanical design. The data consists of structural properties (stiffness distributions, displacement fields, compliance values) and design parameters for physical engineering products such as beams, bridges, and towers.",The paper processes structural topology data as discretized 3D images (voxel-based representations) using convolutional neural networks designed for image processing.,"The paper uses deep convolutional neural networks (CNNs) with residual connections and batch normalization. The architecture is explicitly inspired by image classification models, treating 3D stiffness maps as images where voxels are analogous to pixels. They use 3D convolutional layers to extract local features, which is a computer vision technique.","The ML model directly performs prediction by outputting sensitivity information of the objective function, while the overall framework performs design generation by producing optimized structural topology designs through iterative optimization","This paper presents the development and implementation of a complete machine learning framework for topology optimization, including neural network architecture design, training procedures, and validation through multiple numerical examples with working code implementations.",The paper focuses on topology optimization as a generative design tool for creating and optimizing structural designs. The work addresses the development phase where engineers generate optimal structural configurations for lighter and stronger structures through computational design methods.,Analyzed by PDF Analyzer on 2025-10-22,
139,139_A Generative Deep Learning Approach for Improving the Mechanical Performance of Structural Components,,,,,"The paper explicitly focuses on engineering design of structural components, specifically a joint component for aerospace applications. The authors are from the Department of Industrial Design Engineering and the entire study centers on improving mechanical properties, structural performance, and engineering optimization using FEA and generative models. This is clearly industrial/engineering/product design work.","The paper focuses on generating and analyzing 3D models of mechanical structural components, specifically a joint component used in aerospace industry. The data consists of geometric and mechanical properties of engineering products.","The research uses voxel-based 3D representations of structural components. Voxels are volumetric pixels that represent 3D objects as collections of unit cubes in a 128×128×128 matrix format, which constitutes 3D image/volumetric data.","The paper uses a 3D deep convolutional generative adversarial network (3DCGAN) to generate new 3D structural component designs. GANs are generative models that create new data samples, falling under generative AI rather than traditional discriminative deep learning approaches.","The GAN model is used to autonomously generate new 3D structural component designs. The primary AI function is creating novel design concepts with improved mechanical properties through iterative generation and selection, which directly corresponds to design generation assistance.","The paper focuses on generating, evaluating, and iteratively improving 3D structural component designs using GANs and FEA. It involves concept generation, mechanical testing, optimization cycles, and prototyping through additive manufacturing - all core activities of the Develop phase.","The paper focuses on automated generation of 3D design concepts using GANs, followed by iterative evaluation using FEA and optimization through dataset refinement. This represents core development-phase activities of generating design alternatives and evaluating their performance to produce optimized solutions.",Analyzed by PDF Analyzer on 2025-10-23,
